N,eps_sol,eps_bssg,eps_solsol,dfe,dfe_min,tds,seq
15,-0.5,-6,0,0.192323,-0.399533,1.234432,1E+14
10,-0.5,-6,0,-0.353827,-0.430516,-0.339905,1000000000
5,-0.5,-6,0,2.246571,-0.215445,-1.312509,10000
15,-0.5,-5,0,-1.366443,-1.366443,-2.600848,1E+14
5,-0.5,-5,0,0.729272,-0.240693,-2.060209,10000
10,-0.5,-5,0,-0.767127,-0.767127,-2.316445,1000000000
15,-0.5,-4,0,-1.401222,-1.401222,-2.018186,1E+14
5,-0.5,-4,0,-0.330934,-0.330934,-2.937073,10000
10,-0.5,-4,0,-1.538004,-1.538004,-2.560578,1000000000
5,-0.5,-3,0,-1.078862,-1.078862,-3.235165,10000
10,-0.5,-3,0,-1.550903,-1.550903,-3.123833,1000000000
15,-0.5,-3,0,-1.180068,-1.180068,-3.305527,1E+14
5,-0.5,-2,0,-1.563134,-1.563134,-3.648527,10000
10,-0.5,-2,0,-1.329631,-1.329631,-3.442694,1000000000
15,-0.5,-2,0,-1.58075,-1.58075,-4.188153,1E+14
10,-0.5,-1,0,-1.703046,-1.703046,-3.296964,1000000000
5,-0.5,-1,0,-1.634031,-1.634031,-3.89477,10000
15,-0.5,-1,0,-1.474082,-1.474082,-3.229234,1E+14
5,-0.5,0,0,-1.771066,-1.771066,-3.381317,10000
10,-0.5,0,0,-1.57038,-1.57038,-3.529061,1000000000
15,-0.5,0,0,-1.779783,-1.779783,-3.757235,1E+14
15,-0.5,0.5,0,-1.653487,-1.653487,-2.505388,1E+14
5,-0.5,0.5,0,-1.865858,-1.865858,-3.608144,10000
10,-0.5,0.5,0,-1.649267,-1.649267,-3.720692,1000000000
5,-0.5,1,0,-1.836133,-1.836133,-3.330787,10000
10,-0.5,1,0,-1.744364,-1.744364,-3.575152,1000000000
15,-0.5,1,0,-1.587731,-1.587731,-3.662626,1E+14
15,-0.4,-6,0,0.709389,-0.164898,1.344521,1E+14
5,-0.4,-6,0,2.200417,-0.234008,-1.480737,10000
10,-0.4,-6,0,0.555393,-0.786241,3.935157,1000000000
15,-0.4,-5,0,-0.848809,-0.848809,-1.732937,1E+14
10,-0.4,-5,0,-0.713127,-0.713127,-2.004934,1000000000
5,-0.4,-5,0,1.115112,-0.213295,-1.790139,10000
15,-0.4,-4,0,-1.231442,-1.231442,-1.992745,1E+14
10,-0.4,-4,0,-1.234368,-1.234368,-2.908458,1000000000
5,-0.4,-4,0,-0.168468,-0.231265,-2.179033,10000
10,-0.4,-3,0,-1.531031,-1.531031,-3.088537,1000000000
5,-0.4,-3,0,-0.959219,-0.959219,-3.17399,10000
15,-0.4,-3,0,-1.326836,-1.326836,-3.771482,1E+14
10,-0.4,-2,0,-1.716508,-1.716508,-3.397376,1000000000
5,-0.4,-2,0,-1.665276,-1.665276,-3.65036,10000
15,-0.4,-2,0,-1.526886,-1.526886,-3.118019,1E+14
5,-0.4,-1,0,-1.849265,-1.849265,-3.217888,10000
10,-0.4,-1,0,-1.668796,-1.668796,-3.617226,1000000000
15,-0.4,-1,0,-1.546507,-1.546507,-3.710072,1E+14
15,-0.4,0,0,-1.742522,-1.742522,-3.124212,1E+14
10,-0.4,0,0,-1.54073,-1.54073,-3.489165,1000000000
5,-0.4,0,0,-2.057043,-2.057043,-3.247214,10000
